,기준일,hour,발전제한량,HVDC,LNG(MWh),풍력(MWh),태양광(MWh),중유(MWh),경유(MWh),바이오중유(MWh),demand,solar_predict,total,demand_3,demand_5,demand_8,demand_10,demand_15,total_3,total_5,total_8,total_10,total_15,wind_3,wind_5,wind_8,wind_10,wind_15,solar_3,solar_5,solar_8,solar_10,solar_15
9456,2023-09-30,1,0,88.7,77.8533,34.16255,0.0004,0,0,203.738248,609.173,0,370.291548,657.9050817,597.2062729,600.0784272,594.8350376,518.1138812,401.0625557,408.8081818,405.6095072,442.1050161,226.2581319,5.897463359,28.30225188,0,0,0,0,0,0,0,0
9457,2023-09-30,2,0,88.7,77.91378,34.067268,0.000912,0,0,203.355376,572.374,0,369.969156,573.8452235,573.250523,559.9438314,586.7212754,621.8231194,306.8939222,264.2694584,460.5860941,329.4692994,530.9826273,1.239446706,7.951148817,39.57859069,74.96850483,0,0,0,0,0,0
9458,2023-09-30,3,0,47.4,77.86863,37.820708,0.00044,0,0,203.269192,549.978,0,328.537822,526.0350951,551.2551885,513.5189251,659.6551713,821.8434591,406.4267769,412.0276618,414.6313676,367.0494963,542.8298163,11.81733369,16.24679369,0,31.18055737,14.47621785,0,0,0,0,0
9459,2023-09-30,4,0,37.2,77.85897,34.73568,0.000556,0,0,203.28672,533.301,0,318.34569,514.7146381,580.0469223,464.3761206,582.9348965,340.6649389,378.0867307,433.6929154,391.639695,184.6080073,383.665598,15.72832519,0,0,104.4624128,0,0,0,0,0,0
9460,2023-09-30,5,0,48.4,77.8638,33.195197,0.000472,0,0,203.274904,526.137,0,329.538704,503.9110248,497.3346884,547.072992,650.3669696,527.5990704,361.4320545,343.0222997,335.7278928,509.6085623,488.7380435,20.71078072,19.27629531,80.31426985,16.49212021,0,0,0,0,0,0
9461,2023-09-30,6,0,48.4,77.868,51.081414,0.014543,0,0,203.173376,534.549,0,329.441376,517.3002164,574.4835303,450.4789352,407.3471276,827.4463829,338.5993954,289.5613975,420.8226781,223.4690853,454.0022989,28.97166282,34.82198354,0,74.01620338,50.53824214,0,0,0,0,0
9462,2023-09-30,7,0,48.4,77.87892,47.646438,2.154278,0,0,203.928648,562.8,7.264956667,330.207568,579.2012041,530.0369397,431.7794048,465.2894745,593.1018794,353.5312493,358.1707961,366.3748204,429.6739016,336.2182757,60.02243164,30.41220946,0,59.64665497,26.41504853,3.645807755,0,0,0,0
9463,2023-09-30,8,0,40.8,77.8638,31.343623,42.923526,0,0,203.932568,575.006,43.85737615,322.596368,583.9486157,648.0445258,644.8137337,485.8145954,583.2205864,304.1061252,382.4681737,427.4333781,378.530775,564.2469071,63.18978815,87.70658208,116.5012216,40.06378937,59.55305789,4.806313086,0,0,0,0
9464,2023-09-30,9,0,22.6,77.08617,17.225106,128.86517,0,0,195.279168,563.197,158.4125698,294.965338,619.2212278,526.818557,425.2550775,688.6699973,899.0947522,372.838134,257.6648566,362.4890365,227.599332,363.3396515,77.85784405,36.64144771,90.34028409,115.9028128,117.2549952,15.57918733,0,0,0,0
9465,2023-09-30,10,0,12.9,57.28695,12.782754,207.341158,0,0,144.13224,546.121,277.8285137,214.31919,622.9554737,567.8768065,568.8978434,631.7746809,567.621433,361.30292,301.0159967,389.8345804,167.8347494,402.7359453,33.96098023,26.23702626,22.551606,73.53286446,31.53667572,16.42907299,0,0,0,0
9466,2023-09-30,11,0,-31.3,57.17754,9.357248,262.017301,0,0,131.696824,537.653,361.4038667,157.574364,635.1873138,632.8602994,540.7070456,644.2820038,502.2933106,380.4482705,302.8249525,509.4354486,363.9151552,328.3395048,0,40.22632393,0,16.60268676,63.64169818,30.14228091,7.518617236,0,0,0
9467,2023-09-30,12,0,-71.3,57.19938,6.913438,294.05848,0,0,131.72432,531.92,386.4081694,117.6237,639.6042653,661.8207074,706.9940876,551.2062799,434.4944854,422.0227254,404.4278337,425.486464,548.9970273,599.955067,5.781066746,48.41296317,10.47547755,0,36.17863645,27.60201881,4.978355138,0,0,0
9468,2023-09-30,13,0,-71.5,57.22878,7.344189,297.547264,0,0,131.673528,538.566,386.9000564,117.402308,624.4594041,557.2046196,571.1542313,601.9983572,644.9127547,308.6074416,362.7144993,289.110017,340.676524,386.0258685,0,3.847092286,0,27.05032384,0,87.91014175,65.28647808,52.88692061,40.15120383,1.944053491
9469,2023-09-30,14,0,-39.7,57.25419,6.822012,271.507957,0,0,131.66076,556.226,368.1635252,149.21495,579.7532628,627.511272,713.3652446,647.1270434,428.7395821,401.6279122,392.7068718,469.5839024,449.4878433,189.6329753,0,8.867563979,0,14.52874891,0,87.89462493,65.27096125,52.87140379,40.13568701,1.928536666
9470,2023-09-30,15,0,8.1,62.08125,4.653463,231.622649,0,0,134.98464,578.018,333.8742602,205.16589,606.0329322,669.6942721,609.3535776,538.3327424,632.0783789,347.4409643,333.3512089,415.1653447,334.3684798,435.8112902,13.27413092,18.86753272,84.03802589,61.91184502,0,42.46808104,19.84441736,7.444859894,0,0
9471,2023-09-30,16,0,22.6,84.56196,4.315583,156.50316,0,0,186.233152,612.026,248.3073887,293.395112,581.659059,672.559905,582.8574189,447.6241745,640.8917623,370.4483485,470.8132422,455.6795723,355.0991586,200.6489708,16.91449497,9.075041657,0,93.50549965,202.2370967,59.78788996,37.16422628,24.76466881,12.02895203,0
9472,2023-09-30,17,0,50.1,96.11259,0.811494,100.750243,0,0,203.380576,646.906,145.8474055,349.593166,614.7231622,588.7896036,618.2684865,595.6574785,642.2883998,399.5287618,384.9782742,189.0408636,241.72807,137.20253,18.13045622,48.75900879,54.42287167,100.9235138,159.1249152,116.2479298,93.62426609,81.22470862,68.48899184,30.2818415
9473,2023-09-30,18,0,63.8,157.10597,0.770367,34.997157,0,0,203.91112,688.405,36.13524564,424.81709,658.8740659,670.8976962,584.8662992,522.9062121,692.349401,438.6857237,364.8723064,361.0465939,434.6612444,569.2723078,65.45778859,21.44410539,98.71715938,53.2237611,17.87552859,37.37691007,14.7532464,2.353688931,0,0
9474,2023-09-30,19,0,63.7,187.08508,5.558141,4.041989,0,0,204.319416,718.464,0.941051123,455.104496,682.0213257,668.1321493,733.39411,703.8800561,687.0236769,389.5927352,387.8320617,454.15179,446.7126203,425.5518555,77.45653709,82.62047901,16.37046738,0,0,2.542780875,0,0,0,0
9475,2023-09-30,20,0,63.7,197.044288,1.274888,7.602458,0,0,203.780136,721.629,0.488674184,464.524424,664.5505568,718.2063275,721.8011125,735.8369286,762.7859903,365.2726803,362.0961367,324.3183819,491.6925486,458.8918804,60.45908521,73.75861498,88.92435121,0,99.0746542,0,0,0,0,0
9476,2023-09-30,21,0,51.4,202.865894,0.598745,6.898691,0,0,203.308,711.725,0,457.573894,683.2207909,719.1601953,702.8762402,815.9401605,703.1973625,391.2293748,461.4261198,429.8936352,153.1381861,163.5277225,67.38994455,83.4556208,70.8679133,50.76681284,53.10701374,0,0,0,0,0
9477,2023-09-30,22,0,83.9,139.161736,1.829443,4.219656,0,0,203.388472,688.348,0,426.450208,712.3537312,710.4473925,768.1136791,655.8332619,708.5205731,373.2465746,394.9630943,430.3654814,451.6919282,477.3789803,92.29751692,58.80752096,115.1912592,76.20389874,69.50537186,0,0,0,0,0
9478,2023-09-30,23,0,93.6,119.578732,1.112291,1.962575,0,0,203.409192,663.209,0,416.587924,665.1086401,657.7664768,710.8542168,688.0401237,678.9109794,393.7542676,429.4682104,470.3446862,412.1933358,376.7771023,97.79569238,58.88035525,97.73408805,66.21629062,44.29329013,0,0,0,0,0
9479,2023-09-30,24,0,93.6,101.198006,0.6624,0.473632,0,0,203.833896,630.957,0,398.631902,635.8808385,653.6128636,742.5062927,727.3618388,612.5320265,321.7449392,453.7683732,349.9864909,423.8920371,194.5638118,89.4838811,82.6936903,0,78.10802838,133.7198461,0,0,0,0,0